#,Reference,Qty,Value,Footprint,DNP,Digi-Key_PN
1,"C1, C4",2,10uF,Snapeda:CAPC2012X140N,,
2,C2,1,10nF,Snapeda:CAPC2012X140N,,
3,"C3, C5",2,2.2uF,Snapeda:CAPC2012X140N,,
4,"C6, C8",2,2.7nF,Snapeda:CAPC2012X140N,,
5,C7,1,33pF,Snapeda:CAPC2012X140N,,
6,"C9, C11, C12",3,22uF,Snapeda:CAPC2012X140N,,
7,C10,1,47nF,Snapeda:CAPC2012X140N,,
8,D1,1,LED,Snapeda:RC0603FR-071K5L_RESC1607X60N,,
9,J1,1,USB4105-GF-A,Snapeda:USB4105-GF-A_GCT_USB4105-GF-A,,
10,J2,1,S2B-PH-K-SLFSN,Snapeda:CONN_S2B-PH-K-S_JST,,
11,J3,1,DNP,Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical,,
12,L1,1,NR8040T3R6N,Snapeda:IND_TAIYO_NR8040_TAY,,
13,L2,1,CIGT201610LH1R0MNE,Snapeda:RES_CIGT201610_SAM,,
14,"R1, R2",2,5.1k,Snapeda:RC0603FR-071K5L_RESC1607X60N,,
15,R3,1,1k,Snapeda:RC0603FR-071K5L_RESC1607X60N,,
16,R4,1,15.8k,Snapeda:RC0603FR-071K5L_RESC1607X60N,,
17,R5,1,115k,Snapeda:RC0603FR-071K5L_RESC1607X60N,,
18,R6,1,22.1k,Snapeda:RC0603FR-071K5L_RESC1607X60N,,
19,"R7, R8",2,10K,Snapeda:RC0603FR-071K5L_RESC1607X60N,,
20,U1,1,AP64501SP-13,Snapeda:AP64501SP-13_SOIC127P600X170-9N,,
21,U2,1,BQ25303JRTER,Snapeda:RTE0016C,,
22,U3,1,CM4102008,Snapeda:CM4102008_MODULE_CM4102008,,
